Site,Total_Fault_Periods,Total_Modules_Affected,Total_Fault_Hours,Analysis_Date
Aerojet- Camden,22,14,2.83,2025-07-10 15:11:12
Carey,0,0,0.0,2025-07-10 15:11:16
Carey B,0,0,0.0,2025-07-10 15:11:18
Fort Lupton,14,3,0.0,2025-07-10 15:11:27
Haywood,0,0,0.0,2025-07-10 15:11:29
Houston,0,0,0.0,2025-07-10 15:11:32
Kersey,0,0,0.0,2025-07-10 15:11:35
Mavericks,0,0,0.0,2025-07-10 15:11:40
Millington,0,0,0.0,2025-07-10 15:12:00
New Albany A,0,0,0.0,2025-07-10 15:12:01
New Albany B,0,0,0.0,2025-07-10 15:12:01
Platte,0,0,0.0,2025-07-10 15:12:08
Providence,0,0,0.0,2025-07-10 15:12:15
Ripley (Energize),0,0,0.0,2025-07-10 15:12:15
Ripley (PS Lauderdale),0,0,0.0,2025-07-10 15:12:15
Ripley (SEPI),0,0,0.0,2025-07-10 15:12:15
Ripley (SR),0,0,0.0,2025-07-10 15:12:15
Selmer 1,0,0,0.0,2025-07-10 15:12:23
Selmer 2,0,0,0.0,2025-07-10 15:12:28
South Loving,0,0,0.0,2025-07-10 15:12:32
Windsor,2,1,39.91,2025-07-10 15:12:34
